Iteration,Topics,Alpha,Beta,Coherence
1500,45,5,0.01,0.4594
1500,50,5,0.01,0.4607
1500,5,10,0.01,0.3473
1500,10,10,0.01,0.4215
1500,15,10,0.01,0.4489
1500,20,10,0.01,0.4465
1500,25,10,0.01,0.459
1500,30,10,0.01,0.4575
1500,35,10,0.01,0.4517
1500,40,10,0.01,0.4429
1500,45,10,0.01,0.4424
1500,50,10,0.01,0.4406
1500,5,50,0.01,0.323
1500,10,50,0.01,0.3995
1500,15,50,0.01,0.3868
1500,20,50,0.01,0.4108
1500,25,50,0.01,0.3953
1500,30,50,0.01,0.3992
1500,35,50,0.01,0.3899
1500,40,50,0.01,0.3601
1500,45,50,0.01,0.372
1500,50,50,0.01,0.3839
